Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |      3.920109e-07      |      0.000000e+00      |      0.000000e+00      |
| 0.00500 |      3.920057e-07      |     -1.475699e-10      |      5.837697e+01      |
| 0.01000 |      3.920109e-07      |      1.945892e+01      |      1.167538e+02      |
| 0.01500 |      3.919987e-07      |      1.011868e+02      |      1.751309e+02      |
| 0.02000 |      3.919746e-07      |      1.651243e+02      |      2.335088e+02      |
| 0.02500 |      3.919395e-07      |      2.260979e+02      |      2.918878e+02      |
| 0.03000 |      3.918935e-07      |      2.859949e+02      |      3.502683e+02      |
| 0.03500 |      3.918369e-07      |      3.453755e+02      |      4.086506e+02      |
| 0.04000 |      3.917696e-07      |      4.044680e+02      |      4.670349e+02      |
| 0.04500 |      3.916918e-07      |      4.633838e+02      |      5.254212e+02      |
| 0.05000 |      3.916034e-07      |      5.221838e+02      |      5.838097e+02      |
| 0.05500 |      3.915045e-07      |      5.809040e+02      |      6.422004e+02      |
| 0.06000 |      3.913950e-07      |      6.395673e+02      |      7.005930e+02      |
| 0.06500 |      3.912750e-07      |      6.981887e+02      |      7.589873e+02      |
| 0.07000 |      3.911445e-07      |      7.567784e+02      |      8.173830e+02      |
| 0.07500 |      3.910036e-07      |      8.153436e+02      |      8.757795e+02      |
| 0.08000 |      3.908521e-07      |      8.738894e+02      |      9.341763e+02      |
| 0.08500 |      3.906901e-07      |      9.324192e+02      |      9.925724e+02      |
| 0.09000 |      3.905176e-07      |      9.909355e+02      |      1.050967e+03      |
| 0.09500 |      3.903347e-07      |      1.049440e+03      |      1.109359e+03      |
| 0.10000 |      3.901412e-07      |      1.107933e+03      |      1.167747e+03      |
| 0.10500 |      3.899373e-07      |      1.166416e+03      |      1.226129e+03      |
| 0.11000 |      3.897229e-07      |      1.224888e+03      |      1.284504e+03      |
| 0.11500 |      3.894980e-07      |      1.283348e+03      |      1.342870e+03      |
| 0.12000 |      3.892627e-07      |      1.341797e+03      |      1.401225e+03      |
| 0.12500 |      3.890169e-07      |      1.400231e+03      |      1.459565e+03      |
| 0.13000 |      3.887607e-07      |      1.458651e+03      |      1.517890e+03      |
| 0.13500 |      3.884940e-07      |      1.517054e+03      |      1.576195e+03      |
| 0.14000 |      3.882169e-07      |      1.575437e+03      |      1.634478e+03      |
| 0.14500 |      3.879293e-07      |      1.633798e+03      |      1.692735e+03      |
| 0.15000 |      3.876314e-07      |      1.692135e+03      |      1.750963e+03      |
| 0.15500 |      3.873230e-07      |      1.750444e+03      |      1.809157e+03      |
| 0.16000 |      3.870043e-07      |      1.808721e+03      |      1.867313e+03      |
| 0.16500 |      3.866752e-07      |      1.866963e+03      |      1.925427e+03      |
| 0.17000 |      3.863357e-07      |      1.925166e+03      |      1.983494e+03      |
| 0.17500 |      3.859859e-07      |      1.983325e+03      |      2.041508e+03      |
| 0.18000 |      3.856258e-07      |      2.041434e+03      |      2.099464e+03      |
| 0.18500 |      3.852554e-07      |      2.099490e+03      |      2.157356e+03      |
| 0.19000 |      3.848748e-07      |      2.157487e+03      |      2.215178e+03      |
| 0.19500 |      3.844839e-07      |      2.215418e+03      |      2.272922e+03      |
| 0.20000 |      3.840827e-07      |      2.273278e+03      |      2.330583e+03      |
| 0.20500 |      3.836715e-07      |      2.331059e+03      |      2.388152e+03      |
| 0.21000 |      3.832500e-07      |      2.388755e+03      |      2.445622e+03      |
| 0.21500 |      3.828185e-07      |      2.446359e+03      |      2.502985e+03      |
| 0.22000 |      3.823769e-07      |      2.503862e+03      |      2.560231e+03      |
| 0.22500 |      3.819253e-07      |      2.561257e+03      |      2.617353e+03      |
| 0.23000 |      3.814637e-07      |      2.618534e+03      |      2.674341e+03      |
| 0.23500 |      3.809922e-07      |      2.675686e+03      |      2.731184e+03      |
| 0.24000 |      3.805109e-07      |      2.732701e+03      |      2.787873e+03      |
| 0.24500 |      3.800197e-07      |      2.789572e+03      |      2.844397e+03      |
| 0.25000 |      3.795187e-07      |      2.846287e+03      |      2.900745e+03      |
| 0.25500 |      3.790081e-07      |      2.902835e+03      |      2.956905e+03      |
| 0.26000 |      3.784879e-07      |      2.959207e+03      |      3.012865e+03      |
| 0.26500 |      3.779581e-07      |      3.015389e+03      |      3.068614e+03      |
| 0.27000 |      3.774189e-07      |      3.071370e+03      |      3.124138e+03      |
| 0.27500 |      3.768703e-07      |      3.127138e+03      |      3.179423e+03      |
| 0.28000 |      3.763124e-07      |      3.182680e+03      |      3.234456e+03      |
| 0.28500 |      3.757453e-07      |      3.237982e+03      |      3.289223e+03      |
| 0.29000 |      3.751691e-07      |      3.293030e+03      |      3.343710e+03      |
| 0.29500 |      3.745839e-07      |      3.347811e+03      |      3.397900e+03      |
| 0.30000 |      3.739898e-07      |      3.402310e+03      |      3.451779e+03      |
| 0.30500 |      3.733869e-07      |      3.456512e+03      |      3.505331e+03      |
| 0.31000 |      3.727754e-07      |      3.510400e+03      |      3.558539e+03      |
| 0.31500 |      3.721553e-07      |      3.563960e+03      |      3.611385e+03      |
| 0.32000 |      3.715268e-07      |      3.617175e+03      |      3.663854e+03      |
| 0.32500 |      3.708900e-07      |      3.670027e+03      |      3.715928e+03      |
| 0.33000 |      3.702451e-07      |      3.722500e+03      |      3.767587e+03      |
| 0.33500 |      3.695923e-07      |      3.774576e+03      |      3.818814e+03      |
| 0.34000 |      3.689316e-07      |      3.826237e+03      |      3.869590e+03      |
| 0.34500 |      3.682632e-07      |      3.877465e+03      |      3.919896e+03      |
| 0.35000 |      3.675873e-07      |      3.928240e+03      |      3.969711e+03      |
| 0.35500 |      3.669041e-07      |      3.978543e+03      |      4.019016e+03      |
| 0.36000 |      3.662138e-07      |      4.028356e+03      |      4.067790e+03      |
| 0.36500 |      3.655164e-07      |      4.077657e+03      |      4.116014e+03      |
| 0.37000 |      3.648124e-07      |      4.126427e+03      |      4.163665e+03      |
| 0.37500 |      3.641017e-07      |      4.174645e+03      |      4.210722e+03      |
| 0.38000 |      3.633847e-07      |      4.222290e+03      |      4.257164e+03      |
| 0.38500 |      3.626615e-07      |      4.269341e+03      |      4.302970e+03      |
| 0.39000 |      3.619325e-07      |      4.315777e+03      |      4.348117e+03      |
| 0.39500 |      3.611977e-07      |      4.361576e+03      |      4.392582e+03      |
| 0.40000 |      3.604574e-07      |      4.406716e+03      |      4.436344e+03      |
| 0.40500 |      3.597119e-07      |      4.451175e+03      |      4.479380e+03      |
| 0.41000 |      3.589615e-07      |      4.494931e+03      |      4.521667e+03      |
| 0.41500 |      3.582063e-07      |      4.537963e+03      |      4.563182e+03      |
| 0.42000 |      3.574467e-07      |      4.580246e+03      |      4.603903e+03      |
| 0.42500 |      3.566829e-07      |      4.621759e+03      |      4.643807e+03      |
| 0.43000 |      3.559151e-07      |      4.662480e+03      |      4.682871e+03      |
| 0.43500 |      3.551438e-07      |      4.702386e+03      |      4.721072e+03      |
| 0.44000 |      3.543691e-07      |      4.741454e+03      |      4.758387e+03      |
| 0.44500 |      3.535913e-07      |      4.779662e+03      |      4.794794e+03      |
| 0.45000 |      3.528107e-07      |      4.816988e+03      |      4.830270e+03      |
| 0.45500 |      3.520278e-07      |      4.853409e+03      |      4.864794e+03      |
| 0.46000 |      3.512426e-07      |      4.888904e+03      |      4.898342e+03      |
| 0.46500 |      3.504557e-07      |      4.923451e+03      |      4.930894e+03      |
| 0.47000 |      3.496673e-07      |      4.957029e+03      |      4.962428e+03      |
| 0.47500 |      3.488776e-07      |      4.989616e+03      |      4.992923e+03      |
| 0.48000 |      3.480872e-07      |      5.021191e+03      |      5.022359e+03      |
| 0.48500 |      3.472962e-07      |      5.051735e+03      |      5.050715e+03      |
| 0.49000 |      3.465051e-07      |      5.081228e+03      |      5.077973e+03      |
| 0.49500 |      3.457141e-07      |      5.109649e+03      |      5.104112e+03      |
| 0.50000 |      3.449237e-07      |      5.136982e+03      |      5.129115e+03      |
| 0.50500 |      3.441341e-07      |      5.163206e+03      |      5.152964e+03      |
| 0.51000 |      3.433457e-07      |      5.188306e+03      |      5.175642e+03      |
| 0.51500 |      3.425590e-07      |      5.212263e+03      |      5.197133e+03      |
| 0.52000 |      3.417741e-07      |      5.235063e+03      |      5.217422e+03      |
| 0.52500 |      3.409916e-07      |      5.256690e+03      |      5.236495e+03      |
| 0.53000 |      3.402117e-07      |      5.277130e+03      |      5.254338e+03      |
| 0.53500 |      3.394348e-07      |      5.296370e+03      |      5.270939e+03      |
| 0.54000 |      3.386613e-07      |      5.314397e+03      |      5.286287e+03      |
| 0.54500 |      3.378915e-07      |      5.331201e+03      |      5.300371e+03      |
| 0.55000 |      3.371258e-07      |      5.346770e+03      |      5.313182e+03      |
| 0.55500 |      3.363645e-07      |      5.361097e+03      |      5.324713e+03      |
| 0.56000 |      3.356081e-07      |      5.374174e+03      |      5.334957e+03      |
| 0.56500 |      3.348568e-07      |      5.385994e+03      |      5.343910e+03      |
| 0.57000 |      3.341110e-07      |      5.396552e+03      |      5.351566e+03      |
| 0.57500 |      3.333710e-07      |      5.405845e+03      |      5.357925e+03      |
| 0.58000 |      3.326372e-07      |      5.413870e+03      |      5.362984e+03      |
| 0.58500 |      3.319100e-07      |      5.420627e+03      |      5.366746e+03      |
| 0.59000 |      3.311896e-07      |      5.426116e+03      |      5.369211e+03      |
| 0.59500 |      3.304764e-07      |      5.430340e+03      |      5.370384e+03      |
| 0.60000 |      3.297707e-07      |      5.433302e+03      |      5.370270e+03      |
| 0.60500 |      3.290728e-07      |      5.435008e+03      |      5.368876e+03      |
| 0.61000 |      3.283831e-07      |      5.435466e+03      |      5.366211e+03      |
| 0.61500 |      3.277017e-07      |      5.434684e+03      |      5.362285e+03      |
| 0.62000 |      3.270291e-07      |      5.432673e+03      |      5.357111e+03      |
| 0.62500 |      3.263655e-07      |      5.429445e+03      |      5.350702e+03      |
| 0.63000 |      3.257111e-07      |      5.425015e+03      |      5.343074e+03      |
| 0.63500 |      3.250662e-07      |      5.419399e+03      |      5.334244e+03      |
| 0.64000 |      3.244312e-07      |      5.412614e+03      |      5.324232e+03      |
| 0.64500 |      3.238061e-07      |      5.404680e+03      |      5.313058e+03      |
| 0.65000 |      3.231913e-07      |      5.395619e+03      |      5.300745e+03      |
| 0.65500 |      3.225869e-07      |      5.385454e+03      |      5.287318e+03      |
| 0.66000 |      3.219932e-07      |      5.374209e+03      |      5.272803e+03      |
| 0.66500 |      3.214104e-07      |      5.361913e+03      |      5.257226e+03      |
| 0.67000 |      3.208386e-07      |      5.348592e+03      |      5.240618e+03      |
| 0.67500 |      3.202780e-07      |      5.334278e+03      |      5.223010e+03      |
| 0.68000 |      3.197288e-07      |      5.319003e+03      |      5.204433e+03      |
| 0.68500 |      3.191911e-07      |      5.302799e+03      |      5.184922e+03      |
| 0.69000 |      3.186650e-07      |      5.285704e+03      |      5.164513e+03      |
| 0.69500 |      3.181507e-07      |      5.267752e+03      |      5.143241e+03      |
| 0.70000 |      3.176482e-07      |      5.248983e+03      |      5.121146e+03      |
| 0.70500 |      3.171577e-07      |      5.229436e+03      |      5.098265e+03      |
| 0.71000 |      3.166791e-07      |      5.209152e+03      |      5.074639e+03      |
| 0.71500 |      3.162126e-07      |      5.188174e+03      |      5.050310e+03      |
| 0.72000 |      3.157583e-07      |      5.166545e+03      |      5.025319e+03      |
| 0.72500 |      3.153160e-07      |      5.144310e+03      |      4.999709e+03      |
| 0.73000 |      3.148859e-07      |      5.121513e+03      |      4.973523e+03      |
