Число узлов n = 101
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |      3.017746e-07      |      0.000000e+00      |      0.000000e+00      |
| 0.01000 |      3.017528e-07      |      1.216104e+02      |      1.216106e+02      |
| 0.02000 |      3.016874e-07      |      2.432237e+02      |      2.432245e+02      |
| 0.03000 |      3.015783e-07      |      3.648435e+02      |      3.648450e+02      |
| 0.04000 |      3.014256e-07      |      4.864720e+02      |      4.864743e+02      |
| 0.05000 |      3.012293e-07      |      6.081106e+02      |      6.081139e+02      |
| 0.06000 |      3.009893e-07      |      7.297594e+02      |      7.297638e+02      |
| 0.07000 |      3.007057e-07      |      8.514167e+02      |      8.514226e+02      |
| 0.08000 |      3.003785e-07      |      9.730790e+02      |      9.730867e+02      |
| 0.09000 |      3.000076e-07      |      1.094740e+03      |      1.094750e+03      |
| 0.10000 |      2.995931e-07      |      1.216392e+03      |      1.216405e+03      |
| 0.11000 |      2.991351e-07      |      1.338023e+03      |      1.338039e+03      |
| 0.12000 |      2.986335e-07      |      1.459618e+03      |      1.459638e+03      |
| 0.13000 |      2.980883e-07      |      1.581159e+03      |      1.581183e+03      |
| 0.14000 |      2.974998e-07      |      1.702623e+03      |      1.702652e+03      |
| 0.15000 |      2.968679e-07      |      1.823984e+03      |      1.824018e+03      |
| 0.16000 |      2.961927e-07      |      1.945210e+03      |      1.945251e+03      |
| 0.17000 |      2.954744e-07      |      2.066266e+03      |      2.066314e+03      |
| 0.18000 |      2.947131e-07      |      2.187111e+03      |      2.187166e+03      |
| 0.19000 |      2.939091e-07      |      2.307696e+03      |      2.307761e+03      |
| 0.20000 |      2.930626e-07      |      2.427971e+03      |      2.428045e+03      |
| 0.21000 |      2.921738e-07      |      2.547876e+03      |      2.547961e+03      |
| 0.22000 |      2.912430e-07      |      2.667346e+03      |      2.667443e+03      |
| 0.23000 |      2.902707e-07      |      2.786311e+03      |      2.786421e+03      |
| 0.24000 |      2.892573e-07      |      2.904693e+03      |      2.904816e+03      |
| 0.25000 |      2.882032e-07      |      3.022406e+03      |      3.022543e+03      |
| 0.26000 |      2.871090e-07      |      3.139359e+03      |      3.139512e+03      |
| 0.27000 |      2.859754e-07      |      3.255453e+03      |      3.255622e+03      |
| 0.28000 |      2.848030e-07      |      3.370581e+03      |      3.370768e+03      |
| 0.29000 |      2.835925e-07      |      3.484630e+03      |      3.484836e+03      |
| 0.30000 |      2.823450e-07      |      3.597480e+03      |      3.597705e+03      |
| 0.31000 |      2.810613e-07      |      3.709001e+03      |      3.709248e+03      |
| 0.32000 |      2.797424e-07      |      3.819060e+03      |      3.819328e+03      |
| 0.33000 |      2.783895e-07      |      3.927513e+03      |      3.927804e+03      |
| 0.34000 |      2.770039e-07      |      4.034213e+03      |      4.034528e+03      |
| 0.35000 |      2.755869e-07      |      4.139004e+03      |      4.139343e+03      |
| 0.36000 |      2.741399e-07      |      4.241725e+03      |      4.242089e+03      |
| 0.37000 |      2.726645e-07      |      4.342209e+03      |      4.342598e+03      |
| 0.38000 |      2.711625e-07      |      4.440284e+03      |      4.440699e+03      |
| 0.39000 |      2.696355e-07      |      4.535773e+03      |      4.536215e+03      |
| 0.40000 |      2.680855e-07      |      4.628498e+03      |      4.628966e+03      |
| 0.41000 |      2.665145e-07      |      4.718273e+03      |      4.718768e+03      |
| 0.42000 |      2.649246e-07      |      4.804916e+03      |      4.805436e+03      |
| 0.43000 |      2.633181e-07      |      4.888238e+03      |      4.888785e+03      |
| 0.44000 |      2.616974e-07      |      4.968055e+03      |      4.968627e+03      |
| 0.45000 |      2.600648e-07      |      5.044181e+03      |      5.044778e+03      |
| 0.46000 |      2.584229e-07      |      5.116434e+03      |      5.117054e+03      |
| 0.47000 |      2.567743e-07      |      5.184636e+03      |      5.185278e+03      |
| 0.48000 |      2.551218e-07      |      5.248613e+03      |      5.249275e+03      |
| 0.49000 |      2.534682e-07      |      5.308198e+03      |      5.308878e+03      |
| 0.50000 |      2.518163e-07      |      5.363234e+03      |      5.363930e+03      |
| 0.51000 |      2.501690e-07      |      5.413574e+03      |      5.414283e+03      |
| 0.52000 |      2.485293e-07      |      5.459080e+03      |      5.459798e+03      |
| 0.53000 |      2.469001e-07      |      5.499630e+03      |      5.500355e+03      |
| 0.54000 |      2.452844e-07      |      5.535118e+03      |      5.535845e+03      |
| 0.55000 |      2.436853e-07      |      5.565453e+03      |      5.566178e+03      |
| 0.56000 |      2.421056e-07      |      5.590563e+03      |      5.591281e+03      |
| 0.57000 |      2.405483e-07      |      5.610398e+03      |      5.611105e+03      |
| 0.58000 |      2.390163e-07      |      5.624930e+03      |      5.625618e+03      |
| 0.59000 |      2.375124e-07      |      5.634152e+03      |      5.634816e+03      |
| 0.60000 |      2.360392e-07      |      5.638085e+03      |      5.638718e+03      |
| 0.61000 |      2.345994e-07      |      5.636773e+03      |      5.637369e+03      |
| 0.62000 |      2.331955e-07      |      5.630290e+03      |      5.630839e+03      |
| 0.63000 |      2.318297e-07      |      5.618736e+03      |      5.619231e+03      |
